entityid,TYPE,NAME,ADDRESS,LOCATION,LATITUDE,LONGITUDE
,ATHLETIC FIELD,MCDERMID SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,139 TORONTO STREET,MCDERMID SCHOOL,50.4766939090001,-104.59730054
,ATHLETIC FIELD,MARTIN COLLEGIATE SOUTH - ATHLETIC FIELD SOCCER ATHLETIC FIELD,1100 MCINTOSH STREET,MARTIN COLLEGIATE SOUTH,50.461551646,-104.656093382
,UNIVERSITY OF REGINA,CAMPION COLLEGE,3769 WASCANA PARKWAY,UNIVERSITY OF REGINA,50.4182592350001,-104.586981944
,POLICE,NORTH CENTRAL COMMUNITY SERVICE CENTRE,3350 7TH AVENUE,NORTH CENTRAL COMMUNITY SERVICE CENTRE,50.4586230130001,-104.628602732
,BALL DIAMOND,M.J. COLDWELL SCHOOL - BALL DIAMOND BS #241,103 FAIRVIEW ROAD,M.J. COLDWELL SCHOOL,50.4906227720001,-104.612380487
,PUBLIC ELEMENTARY SCHOOL,LAKEVIEW - PUBLIC ELEMENTARY SCHOOL,3100 20TH AVENUE,LAKEVIEW - PUBLIC ELEMENTARY SCHOOL,50.4323745010001,-104.626042709
,PLAYGROUND,OXFORD PARK - PLAYGROUND 1512 E 8TH AVE,1512 E 8TH AVENUE,OXFORD PARK,50.4570544950001,-104.560605675
,BALL DIAMOND,ST. AUGUSTINE SCHOOL - BALL DIAMOND BS #79,2343 EDGAR STREET,ST. AUGUSTINE SCHOOL,50.4414753720001,-104.585969402
,PUBLIC HIGH SCHOOL,WINSTON KNOLL COLLEGIATE - PUBLIC HIGH SCHOOL,5253 ROCHDALE BOULEVARD,WINSTON KNOLL COLLEGIATE - PUBLIC HIGH SCHOOL,50.495247233,-104.656146122
,SEASONAL WASHROOM,MOUNT PLEASANT KAPLAN FIELD WASHROOM - SEASONAL WASHROOM,750 N WINNIPEG STREET,MOUNT PLEASANT KAPLAN FIELD WASHROOM,50.4882273410001,-104.600803316
,SEPARATE ELEMENTARY SCHOOL,SACRED HEART - SEPARATE ELEMENTARY SCHOOL,1314 ELPHINSTONE STREET,SACRED HEART - SEPARATE ELEMENTARY SCHOOL,50.4575157680001,-104.631809405
,BALL DIAMOND,HAYWORTH CR. PARK/CENTENNIAL - BALL DIAMOND BS #194,750 RINK AVENUE,HAYWORTH CR. PARK/CENTENNIAL,50.4913367760001,-104.681664747
,OUTDOOR POOL,REGENT - OUTDOOR POOL,560 ELPHINSTONE STREET,REGENT,50.4702560600001,-104.633296307
,PLAYGROUND,MCNAB PARK - PLAYGROUND 4802 11TH AVE,4802 11TH AVENUE,MCNAB PARK,50.449413705,-104.647541004
,BALL DIAMOND,ST. JEROME PARK - BALL DIAMOND BS #206,750 RINK AVENUE,ST. JEROME PARK,50.488015024,-104.680844663
,ATHLETIC FIELD,LUTHER HIGH SCHOOL - ATHLETIC FIELD,1515 ROYAL STREET,LUTHER HIGH SCHOOL,50.4527614190001,-104.649969313
,UNIVERSITY OF REGINA,EDUCATION BUILDING,3769 WASCANA PARKWAY,UNIVERSITY OF REGINA,50.4168002420001,-104.589589112
,BALL DIAMOND,DOVER PARK - BALL DIAMOND,1250 DOVER AVENUE,DOVER PARK,50.482930061,-104.598566935
,PLAYGROUND,GARDINER PARK EXT MR2 - PLAYGROUND 1320 TRUESDALE DRIVE,1320 E TRUESDALE DRIVE,GARDINER PARK EXT MR2,50.4433794670001,-104.556507089
,BALL DIAMOND,ST. FRANCIS PARK NE - BALL DIAMOND BS #158,6015 MIKKELSON DRIVE,ST. FRANCIS PARK NE,50.4647422930001,-104.666912707
,ATHLETIC FIELD,HOWELL MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,2705 E HOWELL DRIVE,HOWELL MULTI,50.4617233470001,-104.543004182
,BALL DIAMOND,NORTH EAST PARK NWW - BALL DIAMOND BS #280 (AKA=REGINA MINOR GIRLS BALL),2015 9TH AVENUE N,NORTH EAST PARK NWW,50.4840582340001,-104.610522375
,PLAYGROUND,REVES PARK - PLAYGROUND 3175 HARDING ST,3175 HARDING STREET,REVES PARK,50.4297737680001,-104.53947027
,WASCANA CENTRE,LEGISLATIVE BUILDING,2405 LEGISLATIVE DRIVE,WASCANA CENTRE,50.432463172,-104.615146425
,PLAYGROUND,BOTHWELL PARK - PLAYGROUND 94 BOTHWELL CRES,94 BOTHWELL CRESCENT,BOTHWELL PARK,50.4926497750001,-104.598166879
,OUTDOOR RINK SHELTER,GOCKI PARK - OUTDOOR RINK SHELTER,2230 LINDSAY STREET,GOCKI PARK,50.4431249370001,-104.587580891
,ATHLETIC FIELD,REALTORS WEST SOCCER - ATHLETIC FIELD SOCCER ATHLETIC FIELD,222 SUNSET DRIVE,REALTORS WEST SOCCER,50.4100226400001,-104.634189893
,PLAYGROUND,HENRY JANZEN SCHOOL - PLAYGROUND 222 RINK AVE,222 RINK AVENUE,HENRY JANZEN SCHOOL,50.4879988660001,-104.6562891
,INDOOR POOL,NORTHWEST LEISURE CENTRE - INDOOR POOL,1127 N ARNASON STREET,NORTHWEST LEISURE CENTRE,50.4954738200001,-104.679568637
,BALL DIAMOND,MIKE BADHAM PARK - BALL DIAMOND BS #12,2606 GRANT ROAD,MIKE BADHAM PARK,50.4025247610001,-104.610370257
,ATHLETIC FIELD,LAKEWOOD MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,6024 WHELAN DRIVE,LAKEWOOD MULTI,50.5021076410001,-104.670313387
,PLAYGROUND,ST. DOMINIC SAVIO SCHOOL - PLAYGROUND 195 WINDFIELD RD,195 WINDFIELD ROAD,ST. DOMINIC SAVIO SCHOOL,50.4321311470001,-104.562376613
,ATHLETIC FIELD,LES SHERMAN SOCCER - ATHLETIC FIELD SOCCER ATHLETIC FIELD,2404 ELPHINSTONE STREET,LES SHERMAN SOCCER,50.4419299800001,-104.634925639
,PLAYGROUND,LUCY ELEY PARK - PLAYGROUND 1915 RETALLACK ST,1955 RETALLACK STREET,LUCY ELEY PARK,50.4477954480001,-104.622010089
,OUTDOOR RINK BOARDED,BLOCK 11B PARK - OUTDOOR RINK BOARDED,945 REYNOLDS STREET,BLOCK 11B PARK,50.4638355170001,-104.588994429
,PLAYGROUND,BASTEDO PARK - PLAYGROUND 87 MCSHERRY CRES,87 MCSHERRY CRESCENT,BASTEDO PARK,50.4728932500001,-104.670905021
,PLAYGROUND,UNIVERSITY PARK - PLAYGROUND 25 MICHENER DR,165 WINDFIELD ROAD,UNIVERSITY PARK,50.4311053270001,-104.561974234
,BASKETBALL,GOCKI PARK - BASKETBALL,2230 LINDSAY STREET,GOCKI PARK,50.4436570810001,-104.587584718
,PLAYGROUND,TURNER PARK - PLAYGROUND 130 BENTLEY DR,130 BENTLEY DRIVE,TURNER PARK,50.4539075340001,-104.546676988
,ATHLETIC FIELD,KEN JENKINS MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,210 MCINTOSH STREET,KEN JENKINS MULTI,50.4743807410001,-104.655748199
,ATHLETIC FIELD,WILFRED WALKER MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,1910 E WAGMAN DRIVE,WILFRED WALKER MULTI,50.4398491750001,-104.555051079
,ATHLETIC FIELD,STEWART RUSSELL PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,1912 E 7TH AVENUE,STEWART RUSSELL PARK,50.4598790940001,-104.554923228
,ATHLETIC FIELD,DOUGLAS PARK (LEIBEL) - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,3025 MCDONALD STREET,DOUGLAS PARK (LEIBEL),50.4275241750001,-104.579972105
,ATHLETIC FIELD,DALGLIESH - ATHLETIC FIELD SOCCER ATHLETIC FIELD,50 DALGLIESH DRIVE,DALGLIESH,50.4861630390001,-104.649835019
,PUBLIC ELEMENTARY SCHOOL,JUDGE BRYANT - PUBLIC ELEMENTARY SCHOOL,2828 E DEWDNEY AVENUE,JUDGE BRYANT - PUBLIC ELEMENTARY SCHOOL,50.4556158250001,-104.541976706
,BALL DIAMOND,QUEEN ELIZABETH JUBILEE PARK - BALL DIAMOND BS #98,111 E BROADWAY AVENUE,QUEEN ELIZABETH JUBILEE PARK,50.4369012430001,-104.579914414
,OUTDOOR RINK BOARDED,DR. A.E. PERRY SCHOOL - OUTDOOR RINK BOARDED,93 LINCOLN DRIVE,DR. A.E. PERRY SCHOOL,50.401987766,-104.632805671
,PLAYGROUND,BRINKWORTH PARK - PLAYGROUND 2150 ALEXANDRA ST,2109 YORK STREET,BRINKWORTH PARK,50.445326595,-104.644804052
,SEPARATE ELEMENTARY SCHOOL,ST. THERESA - SEPARATE ELEMENTARY SCHOOL,2707 E 7TH AVENUE,ST. THERESA - SEPARATE ELEMENTARY SCHOOL,50.4582451750001,-104.543512681
