entityid,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
00d681cc-c8ea-4b11-a5aa-0c22917e67af,18807,50.48071,-104.613696,2,0.104
00d7bf9c-f616-4d93-8fa0-3395e0a903c9,18824,50.422289,-104.594032,629,14.6369
00d7c067-4d46-4e6a-ba51-640237d2d724,18810,50.48071,-104.613696,515,7.3254
00d85448-7670-4bb4-9943-5a384c71c40e,18915,50.503387,-104.668261,75,0.4823
00d854e8-e2bd-4498-a679-f49974b572d3,18824,50.474111,-104.632502,343,6.0315
00d960dd-aaa8-49e8-963f-9d31130497c2,18836,50.45302,-104.606403,237,8.7891
00d9634e-a665-44e3-9938-22e3b30c472f,18836,50.49536,-104.652054,631,18.0502
00d9d867-73d5-41ad-9cde-213eb29c1fc3,18913,50.450376,-104.607915,21,2.5481
00dd1701-3edc-441f-9e9a-ac24a1104ad6,18835,50.420987,-104.605985,188,3.733
00de428a-2be5-4e9a-9fd0-5f45647febe0,18947,50.491549,-104.68215,168,4.2128
00e206af-d181-4fc6-a24a-e5ca09a64dc2,18836,50.474136,-104.63253,328,13.1594
00e6dd76-1269-4a03-b1a6-dcaec326ee67,18824,50.490987,-104.643796,137,2.2718
00e8c09c-b2ff-4abd-ab8f-d4710b50e016,18810,50.494658,-104.614555,352,4.5296
00ea58f2-1026-4318-9b4d-0ef4eb36d0a9,18833,50.474038,-104.632367,376,14.984
00ec50a6-4b97-446d-b0e2-a8914a9f1758,18815,50.455088,-104.623935,58,5.6677
00ece5cc-716a-4840-9efe-ef6c47a7969c,18832,50.458289,-104.618092,357,10.7618
00edab63-25b0-456c-830b-57b81c06310d,18839,50.493908,-104.614593,363,3.5788
00f03b05-10b7-4e38-972d-52d2790a29c1,18893,50.46293,-104.646669,39,5.4421
00f2351d-49f9-4523-9d4e-45b0d314dc9b,18909,50.428625,-104.63605,116,5.4693
00f2fd96-47bc-435a-8835-74a32f06ab25,18870,50.404595,-104.621157,10,0.8311
00f3913c-f808-44ae-ab52-e72eed714029,18889,50.479952,-104.671122,79,0.5224
00f53afe-b713-40da-8d5a-a3b40ace5e50,18939,50.426764,-104.572405,101,6.0812
00f5fe00-eabc-4d39-9a4d-da04a441b6b2,18905,50.401495,-104.622117,282,16.5648
00f7cbfd-839c-4963-91d3-c147ca5035f1,18922,50.429092,-104.536028,377,8.4607
00fc6622-d939-487c-be57-67ef3de617c6,18940,50.449334,-104.539406,187,3.8744
00fc80e5-792e-4f05-84d5-7d7dfe2991cb,18891,50.465627,-104.658253,230,15.1386
00fd65d5-46c8-4808-bfb3-f85ddd54594b,18894,50.426011,-104.557658,81,10.2707
00fd79aa-d6d3-405a-9d48-96400332c46f,18949,50.403627,-104.600376,128,3.5658
01012495-3e25-4194-926e-5258352f1c17,18884,50.424873,-104.554463,181,2.2236
0105da87-ab26-4b65-aea4-f0145dbe4f8d,18941,50.4607,-104.532733,94,5.0582
0106b0bb-7840-4289-95ca-51612b6f43d3,18940,50.460581,-104.557995,329,9.9792
0107037c-354e-4b88-acb0-57d16deb8968,18926,50.491249,-104.669032,562,14.4021
010ad4c4-6edd-4e84-9eb6-6d693be4bb3b,18852,50.401578,-104.603053,641,22.2333
010fe411-83da-45fe-89cf-d03597286e69,18825,50.433884,-104.604943,222,5.4607
0113a618-5403-4967-8ddf-f7999a26b92f,18831,50.421743,-104.603473,459,17.7544
01152748-d5a1-46e5-a4e6-65f7910489b5,18947,50.495724,-104.668459,29,2.8174
0115fa5f-f980-4fe5-995c-ba823338a9c9,18885,50.426819,-104.572115,199,3.629
0118245a-f309-4220-922d-a91684ee4129,18852,50.401391,-104.61125,712,22.8383
011bddab-3663-49bf-a6aa-c349f948f490,18890,50.401805,-104.622195,228,12.0236
011ee905-c1a2-4cfb-975f-a6b0e8307322,18833,50.476844,-104.649144,445,16.3777
011fd15f-6952-411d-abbf-27a97e99b8d1,18924,50.470751,-104.624088,208,5.3891
0123b0df-1818-49bf-91fa-6733cfef4a3f,18834,50.485916,-104.64437,576,18.5688
0124aa24-d6d5-4245-a315-2929a9d35e09,18890,50.418711,-104.621018,169,9.4382
01278d9a-8735-4742-8438-b00261ff5017,18847,50.443866,-104.546066,176,17.6805
0128be17-fd07-4d6d-9192-dc2cc79d72b6,18833,50.486453,-104.643756,555,18.2635
012a9c08-23c2-4412-bf64-e40523a96556,18828,50.49148,-104.684643,197,10.2417
012b36dc-9549-4fa9-bdda-5e1c05d18e88,18915,50.501257,-104.666655,31,0.2181
012cf569-ea3f-4e56-9ef4-57499faeb776,18936,50.446363,-104.554859,155,2.436
013259e3-415b-4105-8472-dec76de6defe,18890,50.411028,-104.621034,174,10.2763
01329761-f6c8-408e-ac08-f2a62501cd5d,18898,50.423918,-104.543328,224,12.4594
